League;Date;Get;Pay;Value;Confidence
Delirium;2020-05-03;Orb of Alchemy;Chaos Orb;0.13559;High
Delirium;2020-05-04;Orb of Alchemy;Chaos Orb;0.1194;High
Delirium;2020-05-05;Orb of Alchemy;Chaos Orb;0.11444;High
Delirium;2020-05-06;Orb of Alchemy;Chaos Orb;0.10145;High
Delirium;2020-05-07;Orb of Alchemy;Chaos Orb;0.10056;High
Delirium;2020-05-08;Orb of Alchemy;Chaos Orb;0.1;High
Delirium;2020-05-09;Orb of Alchemy;Chaos Orb;0.10236;High
Delirium;2020-05-10;Orb of Alchemy;Chaos Orb;0.09525;High
Delirium;2020-05-11;Orb of Alchemy;Chaos Orb;0.08889;High
Delirium;2020-05-12;Orb of Alchemy;Chaos Orb;0.08611;High
Delirium;2020-05-13;Orb of Alchemy;Chaos Orb;0.08403;High
Delirium;2020-05-14;Orb of Alchemy;Chaos Orb;0.09124;High
Delirium;2020-05-15;Orb of Alchemy;Chaos Orb;0.09091;High
Delirium;2020-05-16;Orb of Alchemy;Chaos Orb;0.10755;High
Delirium;2020-05-17;Orb of Alchemy;Chaos Orb;0.09091;High
Delirium;2020-05-18;Orb of Alchemy;Chaos Orb;0.1;High
Delirium;2020-05-19;Orb of Alchemy;Chaos Orb;0.09722;High
Delirium;2020-05-20;Orb of Alchemy;Chaos Orb;0.08787;High
Delirium;2020-05-21;Orb of Alchemy;Chaos Orb;0.0928;High
Delirium;2020-05-22;Orb of Alchemy;Chaos Orb;0.10352;High
Delirium;2020-05-23;Orb of Alchemy;Chaos Orb;0.11171;High
Delirium;2020-05-24;Orb of Alchemy;Chaos Orb;0.11384;High
Delirium;2020-05-25;Orb of Alchemy;Chaos Orb;0.12438;High
Delirium;2020-05-26;Orb of Alchemy;Chaos Orb;0.11364;High
Delirium;2020-05-27;Orb of Alchemy;Chaos Orb;0.10907;High
Delirium;2020-05-28;Orb of Alchemy;Chaos Orb;0.11099;High
Delirium;2020-05-29;Orb of Alchemy;Chaos Orb;0.10662;High
Delirium;2020-05-30;Orb of Alchemy;Chaos Orb;0.10071;High
Delirium;2020-05-31;Orb of Alchemy;Chaos Orb;0.09811;High
Delirium;2020-06-01;Orb of Alchemy;Chaos Orb;0.09472;High
Delirium;2020-06-02;Orb of Alchemy;Chaos Orb;0.09692;High
Delirium;2020-06-03;Orb of Alchemy;Chaos Orb;0.08929;High
Delirium;2020-06-04;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-06-05;Orb of Alchemy;Chaos Orb;0.08779;High
Delirium;2020-06-06;Orb of Alchemy;Chaos Orb;0.08973;High
Delirium;2020-06-07;Orb of Alchemy;Chaos Orb;0.09091;High
Delirium;2020-06-08;Orb of Alchemy;Chaos Orb;0.09091;High
Delirium;2020-06-09;Orb of Alchemy;Chaos Orb;0.09091;High
Delirium;2020-06-10;Orb of Alchemy;Chaos Orb;0.08614;High
Delirium;2020-06-11;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-06-12;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-06-13;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-06-14;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-06-15;Orb of Alchemy;Chaos Orb;0.08333;High
Delirium;2020-03-13;Blessed Orb;Chaos Orb;1;High
Delirium;2020-03-14;Blessed Orb;Chaos Orb;0.5;High
Delirium;2020-03-15;Blessed Orb;Chaos Orb;0.19958;High
Delirium;2020-03-16;Blessed Orb;Chaos Orb;0.16667;High
Delirium;2020-03-17;Blessed Orb;Chaos Orb;0.16667;High
Delirium;2020-03-18;Blessed Orb;Chaos Orb;0.16667;High
Delirium;2020-03-19;Blessed Orb;Chaos Orb;0.15694;High
Delirium;2020-03-20;Blessed Orb;Chaos Orb;0.13623;High
Delirium;2020-03-21;Blessed Orb;Chaos Orb;0.09895;High
Delirium;2020-03-22;Blessed Orb;Chaos Orb;0.10627;High
Delirium;2020-03-23;Blessed Orb;Chaos Orb;0.08498;High
Delirium;2020-03-24;Blessed Orb;Chaos Orb;0.07506;High
Delirium;2020-03-25;Blessed Orb;Chaos Orb;0.07316;High
Delirium;2020-03-26;Blessed Orb;Chaos Orb;0.07043;High
Delirium;2020-03-27;Blessed Orb;Chaos Orb;0.07143;High
Delirium;2020-03-28;Blessed Orb;Chaos Orb;0.05858;High
Delirium;2020-03-29;Blessed Orb;Chaos Orb;0.05072;High
Delirium;2020-03-30;Blessed Orb;Chaos Orb;0.04658;High
Delirium;2020-03-31;Blessed Orb;Chaos Orb;0.03914;High
Delirium;2020-04-01;Blessed Orb;Chaos Orb;0.03351;High
Delirium;2020-04-02;Blessed Orb;Chaos Orb;0.06179;High
Delirium;2020-04-03;Blessed Orb;Chaos Orb;0.05099;High
Delirium;2020-04-04;Blessed Orb;Chaos Orb;0.04969;High
Delirium;2020-04-05;Blessed Orb;Chaos Orb;0.03226;High
Delirium;2020-04-06;Blessed Orb;Chaos Orb;0.03132;High
Delirium;2020-04-07;Blessed Orb;Chaos Orb;0.03109;High
Delirium;2020-04-08;Blessed Orb;Chaos Orb;0.0339;High
Delirium;2020-04-09;Blessed Orb;Chaos Orb;0.03914;High
Delirium;2020-04-15;Blessed Orb;Chaos Orb;0.0474;High
Delirium;2020-04-16;Blessed Orb;Chaos Orb;0.03125;High
Delirium;2020-04-17;Blessed Orb;Chaos Orb;0.0303;High
Delirium;2020-04-18;Blessed Orb;Chaos Orb;0.02758;High
Delirium;2020-04-19;Blessed Orb;Chaos Orb;0.02752;High
Delirium;2020-04-20;Blessed Orb;Chaos Orb;0.02752;High
Delirium;2020-04-21;Blessed Orb;Chaos Orb;0.02632;High
Delirium;2020-04-22;Blessed Orb;Chaos Orb;0.02749;High
Delirium;2020-04-23;Blessed Orb;Chaos Orb;0.03218;High
Delirium;2020-04-24;Blessed Orb;Chaos Orb;0.03329;High
Delirium;2020-04-25;Blessed Orb;Chaos Orb;0.02888;High
Delirium;2020-04-26;Blessed Orb;Chaos Orb;0.0283;High
Delirium;2020-04-27;Blessed Orb;Chaos Orb;0.0283;High
Delirium;2020-04-28;Blessed Orb;Chaos Orb;0.02778;High
Delirium;2020-04-29;Blessed Orb;Chaos Orb;0.03105;High
Delirium;2020-04-30;Blessed Orb;Chaos Orb;0.03175;High
Delirium;2020-05-01;Blessed Orb;Chaos Orb;0.03175;High
Delirium;2020-05-02;Blessed Orb;Chaos Orb;0.03193;High
Delirium;2020-05-03;Blessed Orb;Chaos Orb;0.03061;High
Delirium;2020-05-04;Blessed Orb;Chaos Orb;0.03051;High
Delirium;2020-05-05;Blessed Orb;Chaos Orb;0.03179;High
Delirium;2020-05-06;Blessed Orb;Chaos Orb;0.03125;High
Delirium;2020-05-07;Blessed Orb;Chaos Orb;0.03125;High
Delirium;2020-05-08;Blessed Orb;Chaos Orb;0.0307;High
Delirium;2020-05-09;Blessed Orb;Chaos Orb;0.02857;High
Delirium;2020-05-10;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-11;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-12;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-13;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-14;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-15;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-16;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-17;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-18;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-19;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-20;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-21;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-22;Blessed Orb;Chaos Orb;0.02727;High
Delirium;2020-05-23;Blessed Orb;Chaos Orb;0.03043;High
Delirium;2020-05-24;Blessed Orb;Chaos Orb;0.03114;High
Delirium;2020-05-25;Blessed Orb;Chaos Orb;0.03063;High
Delirium;2020-05-26;Blessed Orb;Chaos Orb;0.03315;High
Delirium;2020-05-27;Blessed Orb;Chaos Orb;0.0307;High
Delirium;2020-05-28;Blessed Orb;Chaos Orb;0.03333;High
Delirium;2020-05-29;Blessed Orb;Chaos Orb;0.02985;High
Delirium;2020-05-30;Blessed Orb;Chaos Orb;0.02985;High
Delirium;2020-05-31;Blessed Orb;Chaos Orb;0.02941;High
Delirium;2020-06-01;Blessed Orb;Chaos Orb;0.02985;High
Delirium;2020-06-02;Blessed Orb;Chaos Orb;0.02985;High
Delirium;2020-06-03;Blessed Orb;Chaos Orb;0.03022;High
Delirium;2020-06-04;Blessed Orb;Chaos Orb;0.03017;High
Delirium;2020-06-05;Blessed Orb;Chaos Orb;0.03333;High
Delirium;2020-06-06;Blessed Orb;Chaos Orb;0.03333;High
Delirium;2020-06-07;Blessed Orb;Chaos Orb;0.03333;High
Delirium;2020-06-08;Blessed Orb;Chaos Orb;0.03344;High
Delirium;2020-06-09;Blessed Orb;Chaos Orb;0.03868;High
Delirium;2020-06-10;Blessed Orb;Chaos Orb;0.05;High
Delirium;2020-06-11;Blessed Orb;Chaos Orb;0.0625;High
Delirium;2020-06-12;Blessed Orb;Chaos Orb;0.05426;High
Delirium;2020-06-13;Blessed Orb;Chaos Orb;0.04762;High
Delirium;2020-06-14;Blessed Orb;Chaos Orb;0.03333;High
Delirium;2020-06-15;Blessed Orb;Chaos Orb;0.03846;High
Delirium;2020-03-13;Silver Coin;Chaos Orb;1;High
Delirium;2020-03-14;Silver Coin;Chaos Orb;0.16667;High
Delirium;2020-03-15;Silver Coin;Chaos Orb;0.14286;High
Delirium;2020-03-16;Silver Coin;Chaos Orb;0.1324;High
Delirium;2020-03-17;Silver Coin;Chaos Orb;0.14286;High
Delirium;2020-03-18;Silver Coin;Chaos Orb;0.15432;High
Delirium;2020-03-19;Silver Coin;Chaos Orb;0.13889;High
Delirium;2020-03-20;Silver Coin;Chaos Orb;0.12195;High
Delirium;2020-03-21;Silver Coin;Chaos Orb;0.11111;High
Delirium;2020-03-22;Silver Coin;Chaos Orb;0.11024;High
Delirium;2020-03-23;Silver Coin;Chaos Orb;0.11016;High
Delirium;2020-03-24;Silver Coin;Chaos Orb;0.10984;High
Delirium;2020-03-25;Silver Coin;Chaos Orb;0.10526;High
Delirium;2020-03-26;Silver Coin;Chaos Orb;0.10526;High
Delirium;2020-03-27;Silver Coin;Chaos Orb;0.10799;High
Delirium;2020-03-28;Silver Coin;Chaos Orb;0.09842;High
Delirium;2020-03-29;Silver Coin;Chaos Orb;0.08696;High
Delirium;2020-03-30;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-03-31;Silver Coin;Chaos Orb;0.07933;High
Delirium;2020-04-01;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-04-02;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-04-03;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-04-04;Silver Coin;Chaos Orb;0.08285;High
Delirium;2020-04-05;Silver Coin;Chaos Orb;0.07685;High
Delirium;2020-04-06;Silver Coin;Chaos Orb;0.07692;High
Delirium;2020-04-07;Silver Coin;Chaos Orb;0.07143;High
Delirium;2020-04-08;Silver Coin;Chaos Orb;0.07054;High
Delirium;2020-04-09;Silver Coin;Chaos Orb;0.06897;High
Delirium;2020-04-15;Silver Coin;Chaos Orb;0.08;High
Delirium;2020-04-16;Silver Coin;Chaos Orb;0.06183;High
Delirium;2020-04-17;Silver Coin;Chaos Orb;0.06122;High
Delirium;2020-04-18;Silver Coin;Chaos Orb;0.05992;High
Delirium;2020-04-19;Silver Coin;Chaos Orb;0.05422;High
Delirium;2020-04-20;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-04-21;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-04-22;Silver Coin;Chaos Orb;0.05405;High
Delirium;2020-04-23;Silver Coin;Chaos Orb;0.06422;High
Delirium;2020-04-24;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-04-25;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-04-26;Silver Coin;Chaos Orb;0.06101;High
Delirium;2020-04-27;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-04-28;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-04-29;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-04-30;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-05-01;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-05-02;Silver Coin;Chaos Orb;0.05357;High
Delirium;2020-05-03;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-05-04;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-05-05;Silver Coin;Chaos Orb;0.05147;High
Delirium;2020-05-06;Silver Coin;Chaos Orb;0.05271;High
Delirium;2020-05-07;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-05-08;Silver Coin;Chaos Orb;0.05;High
Delirium;2020-05-09;Silver Coin;Chaos Orb;0.05051;High
Delirium;2020-05-10;Silver Coin;Chaos Orb;0.05;High
Delirium;2020-05-11;Silver Coin;Chaos Orb;0.04969;High
Delirium;2020-05-12;Silver Coin;Chaos Orb;0.04959;High
Delirium;2020-05-13;Silver Coin;Chaos Orb;0.05001;High
Delirium;2020-05-14;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-05-15;Silver Coin;Chaos Orb;0.05128;High
Delirium;2020-05-16;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-05-17;Silver Coin;Chaos Orb;0.05147;High
Delirium;2020-05-18;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-05-19;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-05-20;Silver Coin;Chaos Orb;0.05263;High
Delirium;2020-05-21;Silver Coin;Chaos Orb;0.05102;High
Delirium;2020-05-22;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-05-23;Silver Coin;Chaos Orb;0.05278;High
Delirium;2020-05-24;Silver Coin;Chaos Orb;0.05715;High
Delirium;2020-05-25;Silver Coin;Chaos Orb;0.05556;High
Delirium;2020-05-26;Silver Coin;Chaos Orb;0.05231;High
Delirium;2020-05-27;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-05-28;Silver Coin;Chaos Orb;0.05978;High
Delirium;2020-05-29;Silver Coin;Chaos Orb;0.05556;High
Delirium;2020-05-30;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-05-31;Silver Coin;Chaos Orb;0.05085;High
Delirium;2020-06-01;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-06-02;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-06-03;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-06-04;Silver Coin;Chaos Orb;0.05172;High
Delirium;2020-06-05;Silver Coin;Chaos Orb;0.05556;High
Delirium;2020-06-06;Silver Coin;Chaos Orb;0.05556;High
Delirium;2020-06-07;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-06-08;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-06-09;Silver Coin;Chaos Orb;0.07692;High
Delirium;2020-06-10;Silver Coin;Chaos Orb;0.07451;High
Delirium;2020-06-11;Silver Coin;Chaos Orb;0.07243;High
Delirium;2020-06-12;Silver Coin;Chaos Orb;0.06667;High
Delirium;2020-06-13;Silver Coin;Chaos Orb;0.0775;High
Delirium;2020-06-14;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-06-15;Silver Coin;Chaos Orb;0.08333;High
Delirium;2020-03-13;Blacksmith's Whetstone;Chaos Orb;1;High
Delirium;2020-03-14;Blacksmith's Whetstone;Chaos Orb;0.09091;High
Delirium;2020-03-15;Blacksmith's Whetstone;Chaos Orb;0.09091;High
Delirium;2020-03-16;Blacksmith's Whetstone;Chaos Orb;0.09091;High
Delirium;2020-03-17;Blacksmith's Whetstone;Chaos Orb;0.08854;High
Delirium;2020-03-18;Blacksmith's Whetstone;Chaos Orb;0.08374;High
Delirium;2020-03-19;Blacksmith's Whetstone;Chaos Orb;0.08306;High
Delirium;2020-03-20;Blacksmith's Whetstone;Chaos Orb;0.08331;High
Delirium;2020-03-21;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-03-22;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-03-23;Blacksmith's Whetstone;Chaos Orb;0.0878;High
Delirium;2020-03-24;Blacksmith's Whetstone;Chaos Orb;0.1034;High
Delirium;2020-03-25;Blacksmith's Whetstone;Chaos Orb;0.10658;High
Delirium;2020-03-26;Blacksmith's Whetstone;Chaos Orb;0.10034;High
Delirium;2020-03-27;Blacksmith's Whetstone;Chaos Orb;0.10626;High
Delirium;2020-03-28;Blacksmith's Whetstone;Chaos Orb;0.10551;High
Delirium;2020-03-29;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-03-30;Blacksmith's Whetstone;Chaos Orb;0.10167;High
Delirium;2020-03-31;Blacksmith's Whetstone;Chaos Orb;0.0965;High
Delirium;2020-04-01;Blacksmith's Whetstone;Chaos Orb;0.1103;High
Delirium;2020-04-02;Blacksmith's Whetstone;Chaos Orb;0.11044;High
Delirium;2020-04-03;Blacksmith's Whetstone;Chaos Orb;0.11033;High
Delirium;2020-04-04;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-05;Blacksmith's Whetstone;Chaos Orb;0.10991;High
Delirium;2020-04-06;Blacksmith's Whetstone;Chaos Orb;0.1042;High
Delirium;2020-04-07;Blacksmith's Whetstone;Chaos Orb;0.09882;High
Delirium;2020-04-08;Blacksmith's Whetstone;Chaos Orb;0.10732;High
Delirium;2020-04-09;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-15;Blacksmith's Whetstone;Chaos Orb;0.1199;High
Delirium;2020-04-16;Blacksmith's Whetstone;Chaos Orb;0.09293;High
Delirium;2020-04-17;Blacksmith's Whetstone;Chaos Orb;0.09943;High
Delirium;2020-04-18;Blacksmith's Whetstone;Chaos Orb;0.09236;High
Delirium;2020-04-19;Blacksmith's Whetstone;Chaos Orb;0.10453;High
Delirium;2020-04-20;Blacksmith's Whetstone;Chaos Orb;0.11014;High
Delirium;2020-04-21;Blacksmith's Whetstone;Chaos Orb;0.11109;High
Delirium;2020-04-22;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-23;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-24;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-25;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-04-26;Blacksmith's Whetstone;Chaos Orb;0.1112;High
Delirium;2020-04-27;Blacksmith's Whetstone;Chaos Orb;0.125;High
Delirium;2020-04-28;Blacksmith's Whetstone;Chaos Orb;0.14108;High
Delirium;2020-04-29;Blacksmith's Whetstone;Chaos Orb;0.14251;High
Delirium;2020-04-30;Blacksmith's Whetstone;Chaos Orb;0.14141;High
Delirium;2020-05-01;Blacksmith's Whetstone;Chaos Orb;0.14192;High
Delirium;2020-05-02;Blacksmith's Whetstone;Chaos Orb;0.125;High
Delirium;2020-05-03;Blacksmith's Whetstone;Chaos Orb;0.125;High
Delirium;2020-05-04;Blacksmith's Whetstone;Chaos Orb;0.125;High
Delirium;2020-05-05;Blacksmith's Whetstone;Chaos Orb;0.12904;High
Delirium;2020-05-06;Blacksmith's Whetstone;Chaos Orb;0.1254;High
Delirium;2020-05-07;Blacksmith's Whetstone;Chaos Orb;0.13023;High
Delirium;2020-05-08;Blacksmith's Whetstone;Chaos Orb;0.13333;High
Delirium;2020-05-09;Blacksmith's Whetstone;Chaos Orb;0.13333;High
Delirium;2020-05-10;Blacksmith's Whetstone;Chaos Orb;0.13528;High
Delirium;2020-05-11;Blacksmith's Whetstone;Chaos Orb;0.1416;High
Delirium;2020-05-12;Blacksmith's Whetstone;Chaos Orb;0.13333;High
Delirium;2020-05-13;Blacksmith's Whetstone;Chaos Orb;0.13536;High
Delirium;2020-05-14;Blacksmith's Whetstone;Chaos Orb;0.14205;High
Delirium;2020-05-15;Blacksmith's Whetstone;Chaos Orb;0.13389;High
Delirium;2020-05-16;Blacksmith's Whetstone;Chaos Orb;0.14133;High
Delirium;2020-05-17;Blacksmith's Whetstone;Chaos Orb;0.13514;High
Delirium;2020-05-18;Blacksmith's Whetstone;Chaos Orb;0.125;High
Delirium;2020-05-19;Blacksmith's Whetstone;Chaos Orb;0.1258;High
Delirium;2020-05-20;Blacksmith's Whetstone;Chaos Orb;0.12286;High
Delirium;2020-05-21;Blacksmith's Whetstone;Chaos Orb;0.12226;High
Delirium;2020-05-22;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-05-23;Blacksmith's Whetstone;Chaos Orb;0.11111;High
Delirium;2020-05-24;Blacksmith's Whetstone;Chaos Orb;0.10773;High
Delirium;2020-05-25;Blacksmith's Whetstone;Chaos Orb;0.11088;High
Delirium;2020-05-26;Blacksmith's Whetstone;Chaos Orb;0.11096;High
Delirium;2020-05-27;Blacksmith's Whetstone;Chaos Orb;0.1;High
Delirium;2020-05-28;Blacksmith's Whetstone;Chaos Orb;0.1;High
Delirium;2020-05-29;Blacksmith's Whetstone;Chaos Orb;0.09997;High
Delirium;2020-05-30;Blacksmith's Whetstone;Chaos Orb;0.09998;High
Delirium;2020-05-31;Blacksmith's Whetstone;Chaos Orb;0.09946;High
Delirium;2020-06-01;Blacksmith's Whetstone;Chaos Orb;0.09983;High
Delirium;2020-06-02;Blacksmith's Whetstone;Chaos Orb;0.09091;High
Delirium;2020-06-03;Blacksmith's Whetstone;Chaos Orb;0.09091;High
Delirium;2020-06-04;Blacksmith's Whetstone;Chaos Orb;0.09082;High
Delirium;2020-06-05;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-06;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-07;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-08;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-09;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-10;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-11;Blacksmith's Whetstone;Chaos Orb;0.08142;High
Delirium;2020-06-12;Blacksmith's Whetstone;Chaos Orb;0.08333;High
Delirium;2020-06-13;Blacksmith's Whetstone;Chaos Orb;0.07929;High
Delirium;2020-06-14;Blacksmith's Whetstone;Chaos Orb;0.0717;High
Delirium;2020-06-15;Blacksmith's Whetstone;Chaos Orb;0.06667;High
Delirium;2020-03-13;Chromatic Orb;Chaos Orb;0.2;High
Delirium;2020-03-14;Chromatic Orb;Chaos Orb;0.07178;High
Delirium;2020-03-15;Chromatic Orb;Chaos Orb;0.11111;High
Delirium;2020-03-16;Chromatic Orb;Chaos Orb;0.12987;High
Delirium;2020-03-17;Chromatic Orb;Chaos Orb;0.14286;High
Delirium;2020-03-18;Chromatic Orb;Chaos Orb;0.17549;High
Delirium;2020-03-19;Chromatic Orb;Chaos Orb;0.15096;High
Delirium;2020-03-20;Chromatic Orb;Chaos Orb;0.13581;High
Delirium;2020-03-21;Chromatic Orb;Chaos Orb;0.10987;High
Delirium;2020-03-22;Chromatic Orb;Chaos Orb;0.10397;High
Delirium;2020-03-23;Chromatic Orb;Chaos Orb;0.1087;High
Delirium;2020-03-24;Chromatic Orb;Chaos Orb;0.14286;High
Delirium;2020-03-25;Chromatic Orb;Chaos Orb;0.13928;High
Delirium;2020-03-26;Chromatic Orb;Chaos Orb;0.13223;High
Delirium;2020-03-27;Chromatic Orb;Chaos Orb;0.15152;High
Delirium;2020-03-28;Chromatic Orb;Chaos Orb;0.14286;High
Delirium;2020-03-29;Chromatic Orb;Chaos Orb;0.12305;High
Delirium;2020-03-30;Chromatic Orb;Chaos Orb;0.10526;High
Delirium;2020-03-31;Chromatic Orb;Chaos Orb;0.09447;High
Delirium;2020-04-01;Chromatic Orb;Chaos Orb;0.1;High
Delirium;2020-04-02;Chromatic Orb;Chaos Orb;0.12562;High
Delirium;2020-04-03;Chromatic Orb;Chaos Orb;0.14136;High
Delirium;2020-04-04;Chromatic Orb;Chaos Orb;0.14013;High
